user_id,n_sessoes_total,hora_media_inicio,kwh_medio_sessao,duracao_media_min,pct_fim_semana,cluster
U0097,84,14.238095238095237,33.58590476190476,107.16666666666667,0.27380952380952384,3
U0098,20,16.4,16.9182,107.7,0.2,1
U0099,35,14.428571428571429,18.236657142857144,110.6,0.42857142857142855,1
U0100,59,15.542372881355933,33.747237288135594,107.89830508474576,0.2542372881355932,3
U0101,48,15.458333333333334,34.420375,104.0625,0.20833333333333334,0
U0102,58,15.551724137931034,11.201327586206897,99.70689655172414,0.29310344827586204,1
U0103,71,16.408450704225352,29.13367605633803,94.40845070422536,0.23943661971830985,0
U0104,69,15.072463768115941,31.687884057971015,100.27536231884058,0.36231884057971014,3
U0105,54,16.72222222222222,11.067518518518519,104.20370370370371,0.3333333333333333,1
U0106,64,16.125,32.933328125,97.375,0.265625,0
U0107,30,14.3,33.454766666666664,109.06666666666666,0.4666666666666667,3
U0108,82,14.792682926829269,11.306914634146342,104.20731707317073,0.3048780487804878,1
U0109,29,16.413793103448278,32.55886206896552,103.48275862068965,0.4482758620689655,3
U0110,121,15.24793388429752,31.279528925619832,100.1900826446281,0.2727272727272727,3
U0111,71,15.126760563380282,27.286267605633803,84.78873239436619,0.22535211267605634,0
U0112,88,15.852272727272727,17.59275,109.93181818181819,0.23863636363636365,1
U0113,19,14.578947368421053,14.72578947368421,95.57894736842105,0.21052631578947367,2
U0114,26,14.307692307692308,13.402346153846155,86.38461538461539,0.15384615384615385,2
U0115,52,15.365384615384615,16.964673076923077,109.25,0.28846153846153844,1
U0116,133,15.240601503759398,34.58899248120301,104.69172932330827,0.3383458646616541,3
U0117,99,14.97979797979798,13.112616161616163,115.74747474747475,0.1919191919191919,1
U0118,54,15.944444444444445,10.741203703703704,93.25925925925925,0.4074074074074074,1
U0119,38,15.631578947368421,15.894499999999999,99.21052631578948,0.3684210526315789,1
U0120,26,12.923076923076923,15.006076923076924,95.42307692307692,0.34615384615384615,2
U0121,44,16.227272727272727,32.972522727272725,98.1590909090909,0.2727272727272727,0
U0122,54,14.75925925925926,32.823462962962964,96.96296296296296,0.3148148148148148,3
U0123,27,16.25925925925926,42.37159259259259,121.0,0.25925925925925924,3
U0124,36,14.833333333333334,36.22302777777778,106.22222222222223,0.19444444444444445,2
U0125,46,15.26086956521739,30.707673913043475,95.28260869565217,0.15217391304347827,0
U0126,39,15.128205128205128,33.0334358974359,107.02564102564102,0.1794871794871795,2
U0127,42,14.785714285714286,31.533023809523808,95.52380952380952,0.40476190476190477,3
U0128,63,15.428571428571429,36.561,117.01587301587301,0.30158730158730157,3
U0129,35,14.114285714285714,34.31305714285715,98.54285714285714,0.2857142857142857,2
U0130,41,15.536585365853659,31.708000000000002,98.6829268292683,0.2926829268292683,0
U0131,67,15.970149253731343,25.046731343283582,78.65671641791045,0.2537313432835821,0
U0132,15,14.933333333333334,33.234,105.06666666666666,0.3333333333333333,3
U0133,60,13.983333333333333,9.618633333333333,91.5,0.2833333333333333,1
U0134,29,16.517241379310345,31.271620689655176,94.65517241379311,0.27586206896551724,0
U0135,79,16.10126582278481,17.010582278481014,99.9493670886076,0.24050632911392406,1
U0136,32,13.1875,19.80865625,116.28125,0.28125,2
U0137,45,14.444444444444445,10.804555555555556,104.2,0.24444444444444444,2
U0138,50,12.94,35.84532,107.74,0.26,2
U0139,49,16.183673469387756,11.70022448979592,110.46938775510205,0.24489795918367346,1
U0140,46,15.108695652173912,11.069260869565216,106.3695652173913,0.2608695652173913,1
U0141,48,16.708333333333332,15.223875,95.52083333333333,0.2708333333333333,1
U0142,81,14.271604938271604,14.97832098765432,94.39506172839506,0.32098765432098764,1
U0143,41,14.21951219512195,34.95517073170732,112.7560975609756,0.2682926829268293,2
U0144,44,16.113636363636363,37.85275,109.81818181818181,0.3409090909090909,3
U0145,54,14.444444444444445,17.159037037037038,103.38888888888889,0.35185185185185186,1
U0146,69,15.72463768115942,16.700652173913046,101.30434782608695,0.2318840579710145,1
U0147,31,16.387096774193548,8.427000000000001,79.48387096774194,0.3548387096774194,1
U0148,67,15.462686567164178,10.943701492537313,102.74626865671642,0.3880597014925373,1
U0149,28,12.535714285714286,16.177285714285713,102.10714285714286,0.32142857142857145,2
U0150,73,15.780821917808218,31.601479452054793,102.08219178082192,0.3013698630136986,3
